Model,Accuracy,Precision,Recall,F1 Score,Avg Confidence,Training Time (s),Inference Time (ms)
Decision Tree,0.174,0.030275999999999997,0.174,0.05157751277683135,1.0,0,4.88724946975708
KNN,0.383,0.7048626555752662,0.383,0.3428329314960636,0.1504967896987753,0,6.714435815811157
IDDFS,0.438,0.5230969406470539,0.438,0.3559124445137245,0.5218800000000001,0,7.055499315261841
Genetic Algorithm,0.192,0.15606302521008406,0.192,0.10036023026636745,0.8256195733186276,0,1.4578547477722168
A* Search,0.176,0.030976,0.176,0.05268027210884354,0.17452813604237702,0,1.3003973960876465
