Model,Accuracy,Balanced Accuracy,Precision,Recall,F1 Score,Avg Confidence,Training Time (s),Inference Time (ms)
IDDFS,0.4503333333333333,0.4827099723738459,0.5264012157671794,0.4503333333333333,0.4058628532497059,0.5105633333333334,136.46299958229065,6.997066179911296
KNN,0.36866666666666664,0.41904378410816595,0.6625051968506231,0.36866666666666664,0.317356734763045,0.1448556466030288,3.5713374614715576,14.600782632827759
Decision Tree,0.17833333333333334,0.2,0.031802777777777784,0.17833333333333334,0.05397925506836399,1.0,16.189852476119995,10.406694332758585
Genetic Algorithm,0.14833333333333334,0.2,0.02200277777777778,0.14833333333333334,0.038321238509917754,0.9394185791003856,359.0886082649231,1.5061607360839844
A* Search,0.18233333333333332,0.2,0.03324544444444444,0.18233333333333332,0.05623700780001879,0.18835678234838896,1.818525791168213,2.432603359222412
